genes	phenotypes
ASUN	HP:0004836
ASUN	HP:0004448
ASUN	HP:0006554
ASUN	HP:0004448
ASUN	HP:0006554
ASUN	HP:0002725
ASUN	HP:0012539
ASUN	HP:0006934
ASUN	HP:0000639
ASUN	HP:0006775
ASUN	HP:0011857
ASUN	HP:0001059
ASUN	HP:0012410
ASUN	HP:0012410
ASUN	HP:0031826
ASUN	HP:0002373
ASUN	HP:0030149
ASUN	HP:0002870
ASUN	HP:0011097
ASUN	HP:0033676
ASUN	HP:0004755
ASUN	HP:0004756
ASUN	HP:0004756
ASUN	HP:0012228
ASUN	HP:0000011
ASUN	HP:0005162
ATF7-NPFF	HP:0001402
ATF7-NPFF	HP:0002860
ATF7-NPFF	HP:0100651
ATF7-NPFF	HP:0033020
ATF7-NPFF	HP:0003251
ATF7-NPFF	HP:0004836
ATF7-NPFF	HP:0005162
BAI3	HP:0006519
BAI3	HP:0001402
BAI3	HP:0001402
BAI3	HP:0002860
BAI3	HP:0100651
BAI3	HP:0100651
BAI3	HP:0005978
BAI3	HP:0033020
BAI3	HP:0008222
BAI3	HP:0003251
BAI3	HP:0004836
BAI3	HP:0004836
BAI3	HP:0000826
BAI3	HP:0005162
BCL2L2-PABPN1	HP:0006536
BCL2L2-PABPN1	HP:0005112
BCL2L2-PABPN1	HP:0004469
BCL2L2-PABPN1	HP:0100279
BCL2L2-PABPN1	HP:0005978
BCL2L2-PABPN1	HP:0001712
BCL2L2-PABPN1	HP:0008222
BCL2L2-PABPN1	HP:0003251
BCL2L2-PABPN1	HP:0004808
BCL2L2-PABPN1	HP:0012743
BCL2L2-PABPN1	HP:0006510
BCL2L2-PABPN1	HP:0004755
BCL2L2-PABPN1	HP:0004756
BOD1L2	HP:0005972
BOLA2-SMG1P6	HP:0005112
BOLA2-SMG1P6	HP:0004469
BOLA2-SMG1P6	HP:0100279
BOLA2-SMG1P6	HP:0008222
BOLA2-SMG1P6	HP:0006510
BPY2	HP:0012028
BPY2	HP:0001402
BPY2	HP:0030358
BPY2	HP:0002860
BPY2	HP:0100658
BPY2	HP:0001627
BPY2	HP:0002564
BPY2	HP:0001627
BPY2	HP:0002564
BPY2	HP:0001041
BPY2	HP:0011703
BSPH1	HP:0005112
BSPH1	HP:0011675
BSPH1	HP:0011675
BSPH1	HP:0002671
BSPH1	HP:0001402
BSPH1	HP:0001402
BSPH1	HP:0025318
BSPH1	HP:0005584
BSPH1	HP:0002860
BSPH1	HP:0002860
BSPH1	HP:0009800
BSPH1	HP:0009800
BSPH1	HP:0005978
BSPH1	HP:0001627
BSPH1	HP:0002564
BSPH1	HP:0007475
BSPH1	HP:0008222
BSPH1	HP:0003251
BSPH1	HP:0003251
BSPH1	HP:0004836
BSPH1	HP:0002249
BSPH1	HP:0000823
BSPH1	HP:0000826
